line,dose,age,beaker,code,individual,date_died,spores,bud1,bud2,bud3,bud4,immature1,immature2,immature3,immature4,mature1,mature2,mature3,mature4,bud_avg,immature_avg,mature_avg,,,
Mid67,low,old,1,LO1,1,8/5/2021,Y,99,94,81,119,4,11,7,3,18,20,12,17,98.25,6.25,16.75,,,
Mid67,high,old,2,HO2,2,8/9/2021,Y,252,259,272,244,5,2,5,1,1,0,1,1,256.75,3.25,0.75,,,
Mid67,high,old,1,HO1,2,8/9/2021,Y,292,276,306,286,7,1,2,5,5,2,2,2,290,3.75,2.75,,,
Clover,high,middle,4,HM4,1,8/9/2021,Y,185,186,189,190,12,11,10,6,2,3,4,1,187.5,9.75,2.5,,,
Mid67,high,old,5,HO5,1,8/2/2021,Y,202,204,208,199,5,4,2,2,1,2,0,0,203.25,3.25,0.75,,,
Mid67,high,old,5,HO5,2,8/9/2021,Y,266,255,272,261,6,6,9,8,2,7,5,3,263.5,7.25,4.25,,,
Mid67,high,old,1,HO1,1,8/5/2021,Y,192,138,179,170,13,7,11,11,22,23,25,20,169.75,10.5,22.5,,,
BA,high,middle,4,HM4,1,8/5/2021,Y,44,43,54,51,9,18,14,19,38,33,39,22,48,15,33,,,
BA,high,middle,3,HM3,1,8/5/2021,Y,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1.5,,,
BA,high,middle,1,HM1,1,8/5/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Mid67,low,young,3,LY3,1,8/5/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Clover,high,young,2,HY2,1,8/2/2021,Y,200,196,197,218,50,35,46,44,1,0,0,0,202.75,43.75,0.25,,,
Pine,high,young,5,HY5,1,8/2/2021,Y,103,105,100,96,20,31,25,27,32,38,35,36,101,25.75,35.25,,,
Pine,high,young,2,HY2,1,8/2/2021,Y,140,225,165,179,20,19,18,16,7,5,12,14,177.25,18.25,9.5,,,
Mid67,high,young,2,HY2,3,8/2/2021,Y,25,43,28,45,2,4,2,0,0,0,0,0,35.25,2,0,,,
Clover,control,young,4,CY4,2,8/2/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Clover,high,young,5,HY5,2,7/31/2021,Y,113,129,107,103,13,11,15,11,0,0,0,0,113,12.5,0,,,
Mid67,low,old,5,LO5,1,7/29/2021,Y,126,143,127,153,53,55,49,50,6,5,5,4,137.25,51.75,5,,,
BA,high,middle,2,HM2,1,7/28/2021,Y,195,201,205,198,37,28,23,49,1,0,0,0,199.75,34.25,0.25,,,
Mid67,high,middle,5,HM5,1,7/29/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Mid67,low,middle,1,LM1,1,7/29/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Mid67,high,young,1,HY1,1,7/28/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Clover,high,middle,2,HM2,1,7/26/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Mid67,high,young,2,HY2,1,7/26/2021,Y,1325,NA,NA,NA,0,0,0,0,0,0,0,0,1325,0,0,,,
Clover,high,young,1,HY1,1,7/29/2021,Y,2115,NA,NA,NA,0,0,0,0,0,0,0,0,2115,0,0,,,
Mid67,high,old,2,HO2,1,7/28/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Clover,high,young,3,HY3,1,7/26/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Clover,high,young,3,HY3,2,7/27/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Clover,high,young,5,HY5,1,7/27/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Clover,high,young,1,HY1,1,7/27/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Clover,high,young,1,HY1,2,7/29/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Mid67,high,young,2,HY2,2,7/26/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
Clover,high,young,4,HY4,1,7/28/2021,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
